date_key,full_date,year,month,day
230515,2023-05-15,2023,5,15
230629,2023-06-29,2023,6,29
230708,2023-07-08,2023,7,8
230710,2023-07-10,2023,7,10
230722,2023-07-22,2023,7,22
230805,2023-08-05,2023,8,5
230818,2023-08-18,2023,8,18
230912,2023-09-12,2023,9,12
230918,2023-09-18,2023,9,18
230924,2023-09-24,2023,9,24
231024,2023-10-24,2023,10,24
231103,2023-11-03,2023,11,3
231205,2023-12-05,2023,12,5
231231,2023-12-31,2023,12,31
240106,2024-01-06,2024,1,6
240108,2024-01-08,2024,1,8
240111,2024-01-11,2024,1,11
240119,2024-01-19,2024,1,19
240205,2024-02-05,2024,2,5
240217,2024-02-17,2024,2,17
240221,2024-02-21,2024,2,21
240228,2024-02-28,2024,2,28
240314,2024-03-14,2024,3,14
240320,2024-03-20,2024,3,20
240325,2024-03-25,2024,3,25
240328,2024-03-28,2024,3,28
240405,2024-04-05,2024,4,5
240408,2024-04-08,2024,4,8
240425,2024-04-25,2024,4,25
240428,2024-04-28,2024,4,28
240430,2024-04-30,2024,4,30
240512,2024-05-12,2024,5,12
240519,2024-05-19,2024,5,19
240605,2024-06-05,2024,6,5
240607,2024-06-07,2024,6,7
240618,2024-06-18,2024,6,18
240624,2024-06-24,2024,6,24
240713,2024-07-13,2024,7,13
240724,2024-07-24,2024,7,24
240730,2024-07-30,2024,7,30
240811,2024-08-11,2024,8,11
240815,2024-08-15,2024,8,15
240816,2024-08-16,2024,8,16
240921,2024-09-21,2024,9,21
240927,2024-09-27,2024,9,27
241003,2024-10-03,2024,10,3
241016,2024-10-16,2024,10,16
241028,2024-10-28,2024,10,28
241112,2024-11-12,2024,11,12
241122,2024-11-22,2024,11,22
241214,2024-12-14,2024,12,14
250120,2025-01-20,2025,1,20
250124,2025-01-24,2025,1,24
